version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,"v0+pf0c107a9d7a1+t011c271ef0bb",f0c107a9d7a14032c948d642d7c36f2a85cb6d69a099530093a874c94d472446,011c271ef0bbad1e19a5d7b660b2ed481b7d72950f1faa8a0798c3bdd8784ee1,"Establish an untouched starter baseline before optimization.","The intentionally vague and unsafe starter artifacts will expose routing argument clarification scope and confirmation failures.",case_accuracy,,0.7000,runs/v0_B_base_openrouter_20260729T143720380260.json
v1,team,artifacts/system_prompt.md,"v1+p4f454a5b0d02+t011c271ef0bb",4f454a5b0d024713c5ae92e5471e0bbbcaff337e1351842ae322e63f4779e327,011c271ef0bbad1e19a5d7b660b2ed481b7d72950f1faa8a0798c3bdd8784ee1,"Stop guessing missing account handles and URLs; require a text clarification for those fields.","Explicit missing-info boundaries will fix R10 and R11 without regressing correct routes.",case_accuracy,0.7000,0.9500,runs/v1_B_base_openrouter_20260729T145004979406.json
v2,team,"artifacts/system_prompt.md; artifacts/tools.yaml; tools/citation_audit; data/eval_group.json","v2+p970230724da1+t9101cb005006",970230724da110e6a75c57408192159699581e06c91cd502f9d40e5af406c45b,9101cb005006140b3370ec8c4ee45138b2417cd21019df4eb049376bbcdfdaa9,"Add an explicit external-write confirmation boundary, register the team citation_audit tool, and add the ten-case group suite.","Requiring current-conversation confirmation for exact final content will route unconfirmed Telegram requests to clarify(response_type=yes_no) without regressions.",case_accuracy,0.9500,0.8000,runs/v2_B_base_openrouter_20260729T150309049961.json
v3,team,artifacts/system_prompt.md,"v3+pb0ed68fa2634+t9101cb005006",b0ed68fa263406610e5876dcd67941fdf7877b7690d174f93446d748ef158cb5,9101cb005006140b3370ec8c4ee45138b2417cd21019df4eb049376bbcdfdaa9,"Replace the one-tool imperative with an ordered routing contract covering current intent safety missing inputs scope and argument normalization.","An explicit decision order will eliminate v2 regressions and preserve valid parallel routing.",case_accuracy,0.8000,0.8500,runs/v3_B_base_openrouter_20260729T151906741120.json
v3.1,team,artifacts/tools.yaml,"v3.1+pb0ed68fa2634+tc802f263d46e",b0ed68fa263406610e5876dcd67941fdf7877b7690d174f93446d748ef158cb5,c802f263d46e8660c0485b0afa82a2f6512ffab0be233894072365dece109f59,"Move decisive must-use and do-not-use rules into model-facing tool descriptions.","Intent exclusions placed next to function schemas will resolve the three stable selection errors.",case_accuracy,0.8500,0.8500,runs/v3.1_B_base_openrouter_20260729T152135673473.json
v3.2,team,"artifacts/system_prompt.md; artifacts/tools.yaml; control tool rename sync","v3.2+p1f3f61140efe+td06ff5a4843b",1f3f61140efef6c64da9045ea97e0f9dafb71f9cd35a2e335c54dc7e8c5e4ffc,d06ff5a4843bf799c6f72205fb94c81048aa0df9b78b1c1ae81804e41ffd637f,"Split ambiguous clarify into missing-info and yes-no confirmation tools and hide unavailable send from model-visible declarations.","Intent-specific control names and single-value response schemas will remove confirmation ambiguity and unsafe send routing.",case_accuracy,0.8500,0.9000,runs/v3.2_B_base_openrouter_20260729T152733747521.json
v3.3,team,"artifacts/system_prompt.md; artifacts/tools.yaml","v3.3+pf676e5b37eba+t25dc8f9dcd89",f676e5b37eba8a1e1b4631d297c41c124d5b4cc9d74161f59e16c5af1e925964,25dc8f9dcd89e39cd378c9c9293ef1857263412628bd720a886ba3cbf4ac73ec,"Forbid empty social queries and distinguish active parallel requests from replaced historical tasks.","Negative constraints will fix missing-handle routing and prevent replaying cancelled source tasks.",case_accuracy,0.9000,0.9000,runs/v3.3_B_base_openrouter_20260729T153119045631.json
v3.4,team,"artifacts/system_prompt.md; artifacts/tools.yaml; social tool rename sync","v3.4+pb50993b32807+te17eb09eafbf",b50993b32807daf5ba3db64f64791571b00a40fa8c5e11a9d93fa83448cd6bc3,e17eb09eafbf53a219f45c75ea5b62c6297f6aa01ac34dca5744553d0ff95ae3,"Rename the social topic tool around active intent and require lookup query topic and timeframe in structured arguments.","Intent-aligned naming plus required web arguments will prevent discarded social calls and missing carry-over values.",case_accuracy,0.9000,0.9500,runs/v3.4_B_base_openrouter_20260729T153527344342.json
v3.5,team,"artifacts/system_prompt.md; tools/timeline/tool.py; tools/social_search/tool.py","v3.5+p2def95469a55+te17eb09eafbf",2def95469a552547606a9ad0926444cf92377cf47c07c14f903fb7d76eadd21d,e17eb09eafbf53a219f45c75ea5b62c6297f6aa01ac34dca5744553d0ff95ae3,"Remove conflicting parallel-call encouragement and add bounded retry for transient Twitter read failures.","Relying on active intent and tool schemas without redundant parallel wording will stop replaying a cancelled source while retries produce clean execution evidence.",case_accuracy,0.9500,1.0000,runs/v3.5_B_base_openrouter_20260729T154428559680.json
v3.6,team,"artifacts/system_prompt.md; artifacts/tools.yaml; chat.py; tools/fetch/tool.py; tools/paper_text/tool.py; tests/test_url_guardrails.py; app.py","v3.6+pdca42daf7795+t31a62147a843",dca42daf7795c299bc9274e03e7f3a35f045d780bc404aa1dbe6cba674817da4,31a62147a843ddafca9555c613ace5c01b20a80506e30f2614eb0c436d56934a,"Block invalid or unsafe article URLs, terminally skip unreadable supplied sources, and make skipped evidence explicit in the UI while preserving Twitter tools.","Pre-network URL validation plus a no-tools terminal synthesis round will prevent random web/social fallback without regressing routing accuracy.",case_accuracy,1.0000,1.0000,runs/v3.6_B_base_openrouter_20260729T162140563244.json
v3.7,team,"artifacts/system_prompt.md; artifacts/tools.yaml; tools/send/tool.py; chat.py; providers/openai_provider.py; tests/test_telegram_send.py; app.py","v3.7+pfaab8d858fd9+t863e8a7ee170",faab8d858fd96d750d1c451c3d7af7a2769ca9730a32c4a9a346328c8e3fe5ee,863e8a7ee17082f1ea3a6b66b57a91c485fbd790f1c4d1e8cec17e75d6ac8aa3,"Expose the Telegram send action for direct user requests, execute it exactly once without a second confirmation, and keep missing-content confirmation behavior.","A strict earlier-content contract plus terminal action completion will send immediately without duplicates while preserving all base and group routing gates.",case_accuracy,1.0000,1.0000,runs/v3.7_B_base_openrouter_20260729T165306646275.json
v3.8,team,"artifacts/system_prompt.md; artifacts/tools.yaml; tools/search_social_topic/tool.py; tools/search_social_topic/TOOL.md; tests/test_social_random.py; app.py","v3.8+p8f50dbdee994+t0e63f2e02ad2",8f50dbdee994de2c0edf4d10162f2be37924b70b10aa9b46a0ce1397d971928e,0e63f2e02ad276090d35b608aad8519eea1ac3224362844f28b6114d6cd33181,"Restore explicit random Twitter discovery while preserving the missing-account guard for generic latest-post requests.","A dedicated random_mode contract and bounded topic pool will execute explicit random requests immediately without enabling unrelated fallback searches.",case_accuracy,1.0000,1.0000,runs/v3.8_B_base_openrouter_20260729T171027579679.json
