stt,khoi,ma_de,ten_de_tai,job_executor,thuc_trang,pain_point,hau_qua,quyet_dinh_ai,mo_ta_bai_toan,nguon_su_that,xu_ly_mo_ho,gioi_han_tham_quyen,rui_ro_domain,hitl,tech_stack,dau_ra_co_ban,dau_ra_nang_cao,metric_eval,max_team,don_vi_goi_y,learner_fit
1,"DEMO - Demo","DEMO-001","Trợ lý phát hiện đề tài trùng trong kho CSV","Sinh viên","Đang xem kho đề tài mặc định","Có thể trùng với đề tài đã có trong kho","Bỏ sót ý tưởng mới","Đánh dấu đề tài có mã tương tự","So sánh tiêu đề và tag để cảnh báo trùng","CSV kho đề tài","Bỏ qua nếu dữ liệu rỗng","Không tự xóa đề tài","Thấp","Sinh viên tự xác nhận","Python","Danh sách mã nghi trùng","So khớp theo cụm từ","Precision; recall",3,"Lớp học",null
2,"DEMO - Demo","DEMO-002","Tóm tắt nhanh một đề tài CSV","Sinh viên","Mỗi dòng CSV dài, khó đọc","Không có chế độ tóm tắt","Tốn thời gian lướt","Tạo bản tóm tắt 2 dòng","Lấy ma_de, ten_de_tai, pain_point","Dòng CSV","Giữ nguyên nếu thiếu","Không sinh nội dung mới","Thấp","Sinh viên đọc lại","JavaScript","Tóm tắt 2 dòng","Highlight từ khóa","Thời gian đọc",2,"Lớp học",null
3,"RET - Bán lẻ và thương mại","DEMO-RET-01","Cảnh báo kệ trống theo ca cho cửa hàng tạp hóa","Trưởng ca cửa hàng","Theo dõi kệ và điều nhân viên bổ sung hàng","Danh sách bổ sung dựa trên cảm tính","Kệ trống kéo dài, doanh thu giảm","Xếp hạng SKU cần bổ sung trong ca","Tạo danh sách bổ sung hàng ưu tiên theo tốc độ bán và tồn kho","POS, lịch sử bán, tồn kho thời gian thực","Khi tồn mâu thuẫn kiểm kê, đánh dấu cần xác minh","Không tự đặt hàng","Trung bình","Trưởng ca duyệt danh sách","Python; FastAPI; PostgreSQL","Danh sách SKU ưu tiên","Tối ưu tuyến lấy hàng theo khu vực","Precision@K; số phút kệ trống",4,"Cửa hàng tạp hóa, chuỗi bán lẻ",null
4,"EDU - Giáo dục và nghiên cứu","DEMO-EDU-01","Cảnh báo sớm sinh viên có nguy cơ trượt môn","Cố vấn học tập","Tổng hợp điểm và tiến độ bài tập","Dữ liệu rải rác trên nhiều hệ thống","Tăng tỷ lệ trượt và thời gian rà soát","Xếp hạng sinh viên cần liên hệ sớm","Kết hợp điểm thành phần, vắng học và tiến độ nộp bài","LMS, điểm danh, điểm số, lịch sử tư vấn","Thiếu dữ liệu thì hiển thị chưa xác định","Không tự cảnh cáo học vụ","Cao","Cố vấn xác nhận trước khi liên hệ","Python; FastAPI; logistic regression","Danh sách sinh viên cần hỗ trợ","Dự báo nguy cơ theo tuần","Recall; false positive rate",5,"Trường đại học, học viện",null
5,"DATA - Nền tảng dữ liệu","DEMO-DATA-01","Kiểm tra chất lượng dữ liệu trước khi vào dashboard","Kỹ sư dữ liệu","Theo dõi pipeline dữ liệu hàng ngày","Sai lệch phát hiện muộn, báo cáo sai","Quyết định kinh doanh dựa trên dữ liệu lỗi","Xếp hạng bảng cột cần kiểm tra","So sánh profile dữ liệu với baseline, cảnh báo bảng bất thường","Data warehouse, schema, lịch sử pipeline","Khi bảng mới chưa đủ lịch sử, hiển thị độ tin cậy thấp","Không tự sửa hoặc xóa","Cao","Kỹ sư xác nhận","Python; Great Expectations; Airflow","Danh sách bảng bất thường","Liên kết với lần deploy gần nhất","Recall; thời gian phát hiện",5,"Đội data, doanh nghiệp có data warehouse",null
6,"FIN","DEMO-FIN-01","Kiểm tra hóa đơn trùng trước khi thanh toán","Kế toán công nợ phải trả","Đối chiếu hóa đơn với đơn mua","Hóa đơn trùng gây thanh toán hai lần","Thất thoát tài chính, sai báo cáo","Đánh dấu hóa đơn nghi trùng","So khớp số tiền, mã nhà cung cấp và nội dung","ERP, hóa đơn, đơn mua hàng","Khi không đủ metadata thì chuyển sang xác minh thủ công","Không tự hủy hóa đơn","Rất cao","Kế toán xác nhận","Python; rule engine; PostgreSQL","Danh sách hóa đơn nghi trùng","Lịch sử cặp trùng của nhà cung cấp","Precision; thời gian xử lý",4,"Doanh nghiệp có khối lượng hóa đơn lớn",null
7,"HC - Y tế và chăm sóc sức khỏe","DEMO-HC-01","Cảnh báo sớm bệnh nhân nội trú có nguy cơ xấu đi","Bác sĩ điều trị","Theo dõi dấu hiệu sinh tồn và kết quả xét nghiệm","Dữ liệu rải rác, khó nhận diện xu hướng","Bỏ sót bệnh nhân nguy kịch","Xếp hạng bệnh nhân cần can thiệp","Kết hợp dấu hiệu sinh tồn, bệnh nền và lịch sử nhập viện","EMR, monitor, kết quả xét nghiệm","Khi dữ liệu monitor gián đoạn, đánh dấu không đủ cơ sở","Không tự đưa ra phác đồ","Rất cao","Bác sĩ xác nhận","Python; FastAPI; PostgreSQL","Danh sách bệnh nhân nguy cơ","Dự báo xu hướng trong 24 giờ","Recall; thời gian cảnh báo",5,"Bệnh viện đa khoa, khoa hồi sức",null
8,"MFG - Hệ thống sản xuất","DEMO-MFG-01","Dự báo hỏng máy trước khi dừng dây chuyền","Kỹ sư bảo trì","Theo dõi rung động và nhiệt độ máy","Dấu hiệu hỏng phát hiện muộn","Dừng dây chuyền đột ngột, mất sản lượng","Xếp hạng máy cần kiểm tra trước","Phân tích chuỗi thời gian từ cảm biến và log sự cố","SCADA, lịch sử bảo trì, log sự cố","Khi dữ liệu cảm biến thiếu, dùng quy tắc ngưỡng","Không tự tắt máy","Rất cao","Kỹ sư duyệt kế hoạch kiểm tra","Python; PostgreSQL; mô hình chuỗi thời gian","Danh sách máy nguy cơ","Lịch bảo trì tối ưu","Recall; thời gian chạy giữa hai lần hỏng",5,"Nhà máy sản xuất, đội vận hành",null
9,"O2O - Kinh doanh online-to-offline","DEMO-O2O-01","Dự báo nhu cầu giao hàng theo khung giờ","Quản lý vận hành giao hàng","Theo dõi đơn và phân công shipper","Không dự báo được đỉnh điểm","Trễ giao hàng, khách phàn nàn","Xếp hạng khung giờ cần tăng shipper","Phân tích đơn theo khu vực và thời tiết","POS, app đặt đồ ăn, dự báo thời tiết","Khi dữ liệu thời tiết không có, dùng lịch sử","Không tự hủy đơn","Trung bình","Quản lý phân công","Python; FastAPI; LightGBM","Dự báo đơn theo giờ","Tối ưu tuyến giao","MAPE; thời gian giao",4,"Chuỗi đồ ăn, dịch vụ giao hàng",null
10,"BO - Back-office và nghiệp vụ nội bộ","DEMO-BO-01","Phát hiện giao dịch nội bộ bất thường","Kiểm soát viên nội bộ","Đối chiếu chứng từ hàng ngày","Bỏ sót giao dịch khả nghi","Rủi ro gian lận và sai sổ sách","Đánh dấu giao dịch cần xác minh","So khớp số tiền, người duyệt và quy trình","ERP, lịch sử duyệt","Khi thiếu chứng từ, đưa vào danh sách kiểm tra","Không tự hủy giao dịch","Cao","Kiểm soát viên xác nhận","Python; PostgreSQL; rule engine","Danh sách giao dịch nghi ngờ","Giải thích lý do theo quy tắc","Precision; thời gian rà soát",3,"Doanh nghiệp có phòng kiểm soát nội bộ",null
